"filename", "language", "Go", "JSON", "Go Module File", "Go Checksum File", "HTML", "TypeScript", "JavaScript", "comment", "blank", "total"
"d:\Punktime\build\windows\info.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 15
"d:\Punktime\frontend\index.html", "HTML", 0, 0, 0, 0, 329, 0, 0, 1, 35, 365
"d:\Punktime\frontend\wailsjs\go\main\App.d.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 2, 10, 21
"d:\Punktime\frontend\wailsjs\go\main\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 3, 10, 40
"d:\Punktime\frontend\wailsjs\runtime\package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Punktime\frontend\wailsjs\runtime\runtime.d.ts", "TypeScript", 0, 0, 0, 0, 0, 72, 0, 120, 57, 249
"d:\Punktime\frontend\wailsjs\runtime\runtime.js", "JavaScript", 0, 0, 0, 0, 0, 0, 160, 28, 54, 242
"d:\Punktime\go.mod", "Go Module File", 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"d:\Punktime\go.sum", "Go Checksum File", 0, 0, 0, 107, 0, 0, 0, 0, 1, 108
"d:\Punktime\main.go", "Go", 262, 0, 0, 0, 0, 0, 0, 3, 77, 342
"d:\Punktime\pkg\config\config.go", "Go", 108, 0, 0, 0, 0, 0, 0, 0, 28, 136
"d:\Punktime\pkg\log\log.go", "Go", 392, 0, 0, 0, 0, 0, 0, 85, 126, 603
"d:\Punktime\tray.go", "Go", 76, 0, 0, 0, 0, 0, 0, 6, 16, 98
"d:\Punktime\wails.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"Total", "-", 838, 77, 43, 107, 329, 81, 187, 248, 422, 2332
